CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
end level offset,the surface at either extremity of a three-dimensional objecta flat surface at right angles to a plumb linestructure where a wall or building narrows abruptly,IfcBeam,BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.40301311,2.01506555,2.3,Position and Topology ,,Position and Topology ,Structural Properties,Different,Partial Equivalent,2
color,"Color (American English), or colour (Commonwealth English), is the characteristic of visual perception described through color categories, with names such as red, orange, yellow, green, blue, or purple. This perception of color derives from the stimulation of photoreceptor cells (in particular cone cells in the human eye and other vertebrate eyes) by electromagnetic radiation (in the visible spectrum in the case of humans). Color categories and physical specifications of color are associated with objects through the wavelengths of the light that is reflected from them and their intensities. This reflection is governed by the object's physical properties such as light absorption, emission spectra, etc.",IfcWall,ThermalTransmittance,"Thermal transmittance coefficient (U-Value) of a material.
Here the total thermal transmittance coefficient through the wall (including all materials).",Pset_WallCommon,IfcThermalTransmittanceMeasure,0.300241262,1.50120631,2.3,Material and Finish,,Sustaibility,Material and Finish,Different,Partial Equivalent,2
enable analytical model,"render capable or able for some taskAnalytical Model. A representation of the structural physical model consisting of analytical elements, geometry, material properties, and loads. It is created automatically while creating the physical model. ",IfcWall,StructuralClass,The structural class defined for the concrete structure (e.g. '1').,Pset_ConcreteElementGeneral,IfcLabel,0.403539032,2.01769516,0.9,Software-dependent Analytics,,Identity,,Different,Not Equivalent,1
cut length,Cut length refers to the distance between connectors inside a pipe segment.,IfcBeam,Shortening,The ratio of the distance by which a precast piece is shortened after release from its form (due to compression induced by prestressing) to its original (nominal) length.,Pset_PrecastConcreteElementGeneral,IfcRatioMeasure,0.48535502,2.4267751,3.1,Geometry,Structural Properties,Geometry,Structural Properties,Different,Fully Equivalent,3
shape,Shape is a two dimesional area confined by a actual line or implied line (an edge for example). In drawing shapes are created when the ends of lines are joined to enclose areas.,IfcWall,StructuralClass,The structural class defined for the concrete structure (e.g. '1').,Pset_ConcreteElementGeneral,IfcLabel,0.296136439,1.480682195,1,Geometry,,Structural Properties,Material and Finish,Different,Not Equivalent,1
line pattern,"a mark that is long relative to its width. Pattern in architecture is the idea of capturing architectural design ideas as archetypal and reusable descriptions. ... The term pattern in this context is usually attributed to Christopher Alexander, an Austrian born American architect. The patterns serve as an aid to design cities and buildings.",IfcBuildingStorey,GrossPlannedArea,Total planned area for the building storey. Used for programming the building storey.,Pset_BuildingStoreyCommon,IfcAreaMeasure,0.247746736,1.23873368,1.1,Software-dependent Analytics,,Geometry,,Different,Not Equivalent,1
text font,the main body of a written work (as distinct from illustrations or footnotes etc.)a specific size and style of type within a type family,IfcStair,WalkingLineOffset,"Offset of the walking line from the inner side of the flight. 
Note: the walking line may have a own shape representation (in case of inconsistencies, the value derived from the shape representation shall take precedence).",Pset_StairCommon,IfcPositiveLengthMeasure,0.357418835,1.787094175,1,Software-dependent Analytics,,Geometry,Position and Topology ,Different,Not Equivalent,1
extend below base,"Specifies a distance to extend the run below the base level of the stair. This is useful in cases where the run attaches to the face of a floor opening rather than resting on the surface of the floor. To extend the run below the floor, enter a negative number.",IfcStair,MinimumAllowableSupportLength,The minimum allowable support length.,Pset_PrecastConcreteElementGeneral,IfcPositiveLengthMeasure,0.334343493,1.671717465,3,Geometry,,Geometry,structural Properties,Different,Partial Equivalent,2
riser to tread connection,Specifies the connection of the riser and tread in relation to each other.,IfcStair,NumberOfTreads,Total number of treads included in the stair.,Pset_StairCommon,IfcCountMeasure,0.144764453,0.723822265,3,Position and Topology ,Structural Properties,,Structural Properties,"Same,Different Constrain",Partial Equivalent,3
span,"In structural engineering and architecture, span is the term given to the length of a structural component  eg beam, floor, roof or floor truss  that extends (or spans) between two supports. Thus, a beam may be supported at either end, in which case it is said to span between the two points, and a floor may span between two (or three or even four) continuous supports.",IfcBeam,AsBuiltLocationNumber,"Defines a unique location within a structure, the Â¡Â®slotÂ¡Â¯ into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.408546686,2.042733431,2.5,Geometry,,Geometry,,Different,Fully Equivalent,3
historic preservation zone name,"an endeavor that seeks to preserve, conserve and protect buildings, objects, landscapes or other artifacts of historical significance. an area or region distinguished from adjacent parts by a distinctive feature or characteristica language unit by which a person or thing is known",IfcSpace,Identifier,The identifier assigned to the agreement for the purposes of tracking.,Pset_PropertyAgreement,IfcIdentifier,0.35652107,1.78260535,2.4,Identity,Facility Information,Identity,,Different,Partial Equivalent,2
phase create,The term project phase refers to a collection of activities within a project. Each project phase is goal-oriented and ends at a milestone. Reaching these milestones means the project progresses. Each phase can be divided into sub-phases.,IfcWall,PieceMark,"Defines a unique piece for production purposes. All pieces with the same piece mark value are identical and interchangeable. The piece mark may be composed of sub-parts that have specific locally defined meaning (e.g. B-1A may denote a beam, of generic type  1 and specific shape   ).",Pset_PrecastConcreteElementFabrication,IfcLabel,0.297989637,1.489948185,1,Facility Information,Project Information,Identity,,Different,Not Equivalent,1
